Distribution statistics of daily log FX changes (all currencies, weekdays only)
Daily log change = log(level_t) - log(level_{t-1})

currency         p01         p02         p05         p10         p25         p50         p75         p90         p95         p98         p99        mean        std     skewness      kurtosis  n_log_changes
     AED -0.00165419 -0.00097352 -0.00030333 -0.00012703 -0.00004491  0.00000056  0.00004701  0.00012748  0.00033733  0.00099069  0.00158260  0.00000000 0.00061038   0.10206015   56.65201010           6886
     AFA -0.02041510 -0.01607759 -0.01038137 -0.00715027 -0.00321859  0.00000000  0.00332637  0.00748826  0.01044234  0.01356311  0.01938418  0.00002321 0.00679390  -0.00946363    4.29734012            784
     AFN -0.01571739 -0.01178821 -0.00717001 -0.00412423 -0.00097222 -0.00000008  0.00106978  0.00416901  0.00756242  0.01195971  0.01687969  0.00004720 0.00673888   1.69929115  110.45907563           6099
     ALL -0.01732282 -0.01358246 -0.00970982 -0.00674042 -0.00302894 -0.00000243  0.00268572  0.00687413  0.00965769  0.01411757  0.01746141 -0.00007143 0.00732467  -0.34376268  127.63423778           6886
     AMD -0.01472394 -0.01129369 -0.00701297 -0.00427194 -0.00129892 -0.00000785  0.00120269  0.00403418  0.00691145  0.01094184  0.01403321 -0.00004894 0.00571382   5.16630885  238.12394622           6886
     ANG -0.01423956 -0.01164065 -0.00777779 -0.00508451 -0.00027229  0.00000000  0.00026743  0.00494101  0.00777526  0.01209264  0.01468540  0.00000001 0.00538365   0.00588157   20.31592488           6886
     AOA -0.01834834 -0.01336447 -0.00860509 -0.00552105 -0.00136425  0.00000683  0.00204793  0.00678969  0.01044257  0.01656239  0.02679452  0.00071177 0.01142098  20.06398126  894.55923226           6769
     AOR         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN        NaN          NaN           NaN              0
     ARS -0.02011390 -0.01391807 -0.00686581 -0.00301511 -0.00041209  0.00039744  0.00167120  0.00476019  0.00919956  0.01769945  0.02582991  0.00105282 0.01420124  29.54237331 1428.07596714           6886
     ATS -0.01553228 -0.01318378 -0.00995313 -0.00724317 -0.00345143  0.00000000  0.00334867  0.00728464  0.01015230  0.01310034  0.01594312 -0.00002949 0.00614049  -0.14731418    2.53694625           4805
     AUD -0.01835658 -0.01533927 -0.01108988 -0.00810243 -0.00402964 -0.00017108  0.00386258  0.00823875  0.01152428  0.01601001  0.01939035 -0.00001187 0.00753283   0.67497929   10.52637793           6886
     AWG -0.01199986 -0.00984058 -0.00582383 -0.00317254 -0.00015973  0.00000001  0.00015913  0.00317662  0.00616650  0.00992295  0.01179752  0.00000513 0.00423270   0.56808288  124.99687421           6886
     AZM -0.01401576 -0.01141508 -0.00795582 -0.00539779 -0.00221688  0.00000000  0.00228133  0.00543474  0.00801256  0.01156337  0.01424984  0.00009663 0.00798587  23.38462944 1074.24227094           6886
     AZN -0.01195059 -0.00903365 -0.00554244 -0.00321349 -0.00067076  0.00000000  0.00069595  0.00321694  0.00549421  0.00889387  0.01157099  0.00011698 0.00781086  32.88880930 1520.66075881           5290
     BAM -0.01547156 -0.01332651 -0.00954675 -0.00683828 -0.00307046  0.00000000  0.00307612  0.00680255  0.00961282  0.01342854  0.01577979 -0.00001082 0.00640445  -0.00523104   20.63874827           6886
     BBD -0.01477269 -0.01209810 -0.00840914 -0.00575392 -0.00130051  0.00000000  0.00134498  0.00574142  0.00841138  0.01234139  0.01453598  0.00000539 0.00558531   0.03339882   48.83044664           6886
     BDT -0.01503162 -0.01073126 -0.00477188 -0.00224847 -0.00044356  0.00000012  0.00056725  0.00243741  0.00501425  0.01102923  0.01651550  0.00012753 0.00523915   2.18307830   60.95626011           6886
     BEF -0.01553013 -0.01318676 -0.00995662 -0.00724539 -0.00345383  0.00000000  0.00335018  0.00728410  0.01015229  0.01310179  0.01593992 -0.00002949 0.00614054  -0.14726160    2.53670082           4805
     BGN -0.01550308 -0.01257730 -0.00926867 -0.00680631 -0.00326726 -0.00001552  0.00314483  0.00677820  0.00955653  0.01285696  0.01552369 -0.00002031 0.00596344  -0.13517765    6.17460794           6886
     BHD -0.00230304 -0.00148646 -0.00075313 -0.00041625 -0.00014517  0.00000043  0.00015021  0.00043554  0.00076981  0.00143821  0.00227665  0.00000002 0.00089529   0.02302653  123.75335370           6886
     BIF -0.01728815 -0.01346859 -0.00929314 -0.00553219 -0.00093877  0.00003260  0.00137431  0.00568330  0.00971931  0.01481325  0.02062329  0.00022534 0.00839737   7.32724471  282.62470180           6886
     BMD  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000 0.00013271   0.45545545 1324.74914525           6886
     BND -0.01284968 -0.01012012 -0.00709353 -0.00461689 -0.00194354 -0.00000571  0.00191647  0.00444893  0.00683369  0.00986583  0.01298361 -0.00003760 0.00514227  -0.30019875  181.61164237           6886
     BOB -0.01320730 -0.00990674 -0.00536182 -0.00155516 -0.00030401  0.00000096  0.00099066  0.00193206  0.00530386  0.01002743  0.01311344  0.00002277 0.00400221  -0.25703215   23.74864265           6886
     BRL -0.02572595 -0.02060871 -0.01465159 -0.01054198 -0.00491170  0.00000000  0.00500930  0.01082250  0.01559756  0.02215121  0.02695145  0.00014952 0.00996553   0.02812783   10.20726556           6886
     BSD -0.00602115 -0.00498522 -0.00105382 -0.00025998  0.00000000  0.00000000  0.00000000  0.00034734  0.00105181  0.00498667  0.00601631 -0.00000000 0.00187920  -0.17801265   40.18655872           6886
     BTN -0.01725559 -0.01319348 -0.00923226 -0.00651317 -0.00271877  0.00002987  0.00295540  0.00682780  0.00978545  0.01332566  0.01691754  0.00011496 0.00641391  -0.02899128   15.03786354           6886
     BWP -0.01773706 -0.01428458 -0.00983200 -0.00687045 -0.00289676  0.00000022  0.00306982  0.00704599  0.01051887  0.01548935  0.02118403  0.00015098 0.00709164   1.45080245   28.00135072           6886
     BYB -0.00596726 -0.00596726 -0.00596726 -0.00596726 -0.00596726 -0.00596726 -0.00596726 -0.00596726 -0.00596726 -0.00596726 -0.00596726 -0.00596726        NaN          NaN           NaN              1
     BYN -0.01298931 -0.00968520 -0.00610992 -0.00395005 -0.00006081  0.00000000  0.00005453  0.00413320  0.00695829  0.01066208  0.01854901  0.00012235 0.05217720   0.31982707 1199.76184371           2582
     BYR -0.02631643 -0.01890158 -0.01098650 -0.00694539 -0.00242989  0.00006865  0.00310065  0.00799531  0.01250938  0.02429127  0.02939575  0.00066824 0.01341044  11.94998762  404.14419091           4302
     BZD -0.01185872 -0.00949683 -0.00593802 -0.00346979 -0.00006322  0.00000000  0.00006251  0.00322293  0.00587763  0.00961115  0.01234362  0.00000668 0.00407536   2.98498676   88.99609757           6886
     CAD -0.01414763 -0.01162310 -0.00804338 -0.00597111 -0.00275169  0.00000000  0.00277180  0.00575423  0.00823222  0.01147537  0.01399446 -0.00000649 0.00526807  -0.04010350    5.59928747           6886
     CDF -0.02284661 -0.01457977 -0.00955356 -0.00635047 -0.00223840  0.00000066  0.00257083  0.00692552  0.01057228  0.01841391  0.02576457  0.00090340 0.05220682  78.24910939 6362.54937578           6878
     CHF -0.01628756 -0.01376038 -0.00991909 -0.00709961 -0.00324779  0.00011550  0.00314036  0.00671149  0.00934629  0.01260047  0.01461070 -0.00010159 0.00622883  -0.84111822   25.25780110           6886
