Distribution statistics of daily log FX changes (subset, weekdays only)
Daily log change = log(level_t) - log(level_{t-1})

currency         p01         p02         p05         p10         p25         p50        p75        p90        p95        p98        p99        mean        std    skewness    kurtosis  n_log_changes
     AUD -0.01835658 -0.01533927 -0.01108988 -0.00810243 -0.00402964 -0.00017108 0.00386258 0.00823875 0.01152428 0.01601001 0.01939035 -0.00001187 0.00753283  0.67497929 10.52637793           6886
     NZD -0.01947031 -0.01550903 -0.01186150 -0.00877311 -0.00446243 -0.00012257 0.00410620 0.00882961 0.01234852 0.01709343 0.02100387 -0.00001569 0.00775307  0.31566314  4.63676435           6886
     NOK -0.01863510 -0.01558989 -0.01162231 -0.00850618 -0.00422419 -0.00002234 0.00421321 0.00851873 0.01169371 0.01670589 0.02057215  0.00002237 0.00752983  0.21176557  5.57822515           6886
     SEK -0.01879997 -0.01569216 -0.01117181 -0.00830042 -0.00397982  0.00005601 0.00407691 0.00820431 0.01134796 0.01543434 0.01830994  0.00001459 0.00712855 -0.15695397  3.06382028           6886
     GBP -0.01402709 -0.01186618 -0.00886210 -0.00646257 -0.00315690 -0.00006504 0.00318654 0.00669964 0.00913876 0.01201359 0.01457837  0.00002743 0.00577413  0.42287720  9.60998632           6886
     EUR -0.01472337 -0.01246825 -0.00921292 -0.00664350 -0.00312538  0.00002320 0.00302219 0.00654728 0.00935939 0.01238121 0.01520960 -0.00001959 0.00566749 -0.15075879  2.85796683           6886
     CAD -0.01414763 -0.01162310 -0.00804338 -0.00597111 -0.00275169  0.00000000 0.00277180 0.00575423 0.00823222 0.01147537 0.01399446 -0.00000649 0.00526807 -0.04010350  5.59928747           6886
     JPY -0.01736615 -0.01367075 -0.00982165 -0.00694361 -0.00301984  0.00015923 0.00345598 0.00690331 0.00928480 0.01292522 0.01599184  0.00006558 0.00611920 -0.35447192  4.04972509           6886
     RUB -0.02810364 -0.01953997 -0.01228323 -0.00749075 -0.00259101  0.00000000 0.00277096 0.00804707 0.01246896 0.02045996 0.02776686  0.00014010 0.01079298  1.88831321 89.34702499           6886
     CHF -0.01628756 -0.01376038 -0.00991909 -0.00709961 -0.00324779  0.00011550 0.00314036 0.00671149 0.00934629 0.01260047 0.01461070 -0.00010159 0.00622883 -0.84111822 25.25780110           6886
